Power,Current,Voltage,Shunt,Freq,Util,WorkMode
205.12,40.5,4.98,4.13,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
207.07,40.79,4.98,4.18,240,25,noop_test.csv
194.15,39.0,4.97,3.99,240,25,noop_test.csv
207.32,40.9,4.98,4.16,240,25,noop_test.csv
193.9,39.0,4.97,3.99,240,25,noop_test.csv
207.8,40.9,4.98,4.09,240,25,noop_test.csv
193.41,39.0,4.97,3.95,240,25,noop_test.csv
209.02,41.29,4.98,4.1,240,25,noop_test.csv
193.9,38.9,4.97,3.9,240,25,noop_test.csv
207.07,41.5,4.98,4.1,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
206.1,41.79,4.97,4.09,240,25,noop_test.csv
193.41,39.0,4.98,3.91,240,25,noop_test.csv
208.29,41.79,4.98,4.07,240,25,noop_test.csv
193.9,39.0,4.98,3.94,240,25,noop_test.csv
206.1,41.6,4.97,4.01,240,25,noop_test.csv
197.8,39.0,4.98,3.97,240,25,noop_test.csv
203.9,41.7,4.97,3.96,240,25,noop_test.csv
197.07,39.0,4.98,4.01,240,25,noop_test.csv
203.41,41.5,4.97,3.93,240,25,noop_test.csv
193.9,41.4,4.98,4.06,240,25,noop_test.csv
202.93,41.29,4.98,3.91,240,25,noop_test.csv
193.9,39.6,4.98,4.08,240,25,noop_test.csv
200.24,41.79,4.98,3.9,240,25,noop_test.csv
193.9,39.0,4.98,4.1,240,25,noop_test.csv
198.29,41.6,4.97,3.9,240,25,noop_test.csv
195.37,39.0,4.98,4.09,240,25,noop_test.csv
193.9,40.9,4.98,3.9,240,25,noop_test.csv
203.41,39.6,4.98,4.21,240,25,noop_test.csv
193.9,39.2,4.98,3.9,240,25,noop_test.csv
203.41,39.9,4.98,4.19,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
204.63,40.29,4.98,4.15,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
206.59,40.7,4.98,4.19,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
